hostname,file_path,file_name,extension,size_bytes,sha256,created_time,owner
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70420,17f4ffc7f5e323b4438a298bd25918994e3008ec04f3c1dfac3ba57d74c0bc9d,2026-03-13 03:36:00,diana
WIN-FIN-02,C:\Users\alice\AppData\Local\Temp\invoice_update.exe,invoice_update.exe,exe,512000,7f6a9c8e3b2d4f1a0c9b8e7d6a5f4c3b2a1908e7d6c5b4a39281726354433221,2026-03-13 03:46:00,alice
WIN-FIN-02,C:\Windows\Temp\temp.dll,temp.dll,dll,192000,8d30caf3127e88372afb156c7e708fc8f53bd38d354fa95ead9a5fdbab6673ac,2026-03-13 03:52:00,alice
WIN-ACCT-01,C:\ProgramData\updater.vbs,updater.vbs,vbs,2600,cb0a705209cee5d322c9fe9416d04e96e971cd4a0785fd2ed32d2462d8379b8f,2026-03-13 03:53:00,bob
WIN-FIN-02,C:\Users\Public\system_check.ps1,system_check.ps1,ps1,3800,f1e2d3c4b5a697887766554433221100ffeeddccbbaa99887766554433221100,2026-03-13 04:11:00,alice
WIN-FIN-02,C:\Users\bob\Downloads\documents_backup.zip,documents_backup.zip,zip,800000,aa11bb22cc33dd44ee55ff6677889900aa11bb22cc33dd44ee55ff6677889900,2026-03-13 04:29:00,admin
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2153,09752de304bf32fedce620de30c663511adafbc852757247a926e888995ddc39,2026-03-13 06:11:00,admin
WIN-ACCT-01,C:\Users\alice\Documents\report.docx,report.docx,docx,25566,11e766d1d232f6e206915ecf590ca1d7a03f06f8c51e31cd09dd6fa1a83b764d,2026-03-13 08:27:00,george
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,24430,7a6a57248c6b47c80aa8f4a337706c98e54f003be60b3a74605874d9d225f3ac,2026-03-13 08:29:00,helen
WIN-LAB-03,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,4707,5159367bc0f1f535d4c93faea1f8a2a50e753ee4da1d2353a7cbb9cde2403385,2026-03-13 09:16:00,helen
WIN-LAB-03,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649202,a063a7754fc6ff60d26abee3824df317f098cc08650544ea132a64b5e584cb79,2026-03-13 13:13:00,admin
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1299,4bde909399f0383180fb0ef207b2177ed06dfed0dea8242651b0c847eadfbf7b,2026-03-13 15:47:00,george
WIN-ACCT-01,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70494,db40b64cb9d63bce4d3634a2784abbb1606526f67757f7ca637d7aa4d9d53ff5,2026-03-13 18:13:00,helen
WIN-FIN-02,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,650778,0341c75fd57fe2727230a39d9d0fbdd53e3a548b8e27047ae6a0c4930965fb1d,2026-03-13 19:12:00,helen
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2048308,bd56aac33c16f758623e1233ee6768839673469d91accefdaa2d6d4dc39d2e4d,2026-03-13 21:19:00,george
WIN-LAB-03,C:\Users\alice\Documents\report.docx,report.docx,docx,25504,29a01263c1bd8e2ffdf9742c35e7ee5f5bdea304951102247e288c2c9e20ba19,2026-03-13 21:52:00,svc_backup
WIN-LAB-03,C:\Users\alice\Documents\report.docx,report.docx,docx,23968,8b7194a69e448b3637bbeee82c111af606243d473abb062602e6a82854e2ec17,2026-03-13 22:28:00,charlie
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1891,bfaa35c82ad0ab9b64c3ebb082f4690955bfb8db3ee36ade0ed2cd8b9988b5f9,2026-03-14 06:27:00,charlie
WIN-ACCT-01,C:\Users\alice\Documents\report.docx,report.docx,docx,24558,b9e14cf02e89cd608af3f38ea3c5fc87c7da3cb5f453ce2d4d13ae3473ad3a85,2026-03-14 07:32:00,edward
WIN-ACCT-01,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,5209,438033aeaa6e0a33953f5965806d4cf787d994eb4e40c4812b0ace649762091e,2026-03-14 08:26:00,george
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,24879,dd0312436fb3a0dd6504de3083c1310e25e4cd239d093802cc4630b69a0d8982,2026-03-14 08:36:00,alice
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1325,bb355bd927936ee415043d04b438933ea20051840eda358b0810ace0f996f1f2,2026-03-14 08:47:00,charlie
WIN-ACCT-01,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3632,68009bdcdbd0831bbf2422b2b29f6615f1476c47bfad9df7d22689593e64a14d,2026-03-14 09:39:00,diana
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,4290,b37ce35289734a33e7df024255c908a69a3bea065ae47b0f1302c5bf6c370cc4,2026-03-14 10:54:00,alice
WIN-LAB-03,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649739,91503df328edc0115f9d5c0a73523145adb15912521c0b70daec3913a6396593,2026-03-14 14:16:00,charlie
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2979,f23cc1a65e40bc47dd7ac662998bee33da676bbfe275c02fc9dc52b7a19bfb2c,2026-03-14 14:38:00,fatima
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3550,097a58162c3a1311daccf302a335ac4b2b56ff4490c5ad7168cd9f47a1a577c0,2026-03-14 14:50:00,svc_backup
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,25094,6cf18bf19bfda9b7930b1f34a1343fa2bfb7cde6e2910cfda0eabb37f024adb1,2026-03-14 16:44:00,helen
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,3035,749415803cb3b5e123b897c9808f03e224b4d8fa48a5c762188dd3d2cfddf95a,2026-03-14 17:52:00,george
WIN-ACCT-01,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1208,f131e2d54cefc9a3be09a4c8ab53ca88d7d615d4c47bed3ccd33dd1ae59cf751,2026-03-14 18:00:00,bob
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,25127,be2917957179fc4d043e27d6ee111566309a984485bbd157f207d486643776a5,2026-03-14 18:52:00,alice
WIN-LAB-03,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,650492,77d0639c375168b560587004b9e473c3286b27ea30e73f465b92b8345b7aff6a,2026-03-14 20:21:00,fatima
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71983,fc9199f00d033f09cec3f2e839a07d39711a3238d4e3d9f6d715f95bbc11b28d,2026-03-14 20:49:00,bob
WIN-ACCT-01,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,4354,46cb19a556a9c3f832325115bd7f4c77d4b9e8fa80532d2689989574dc9e62ce,2026-03-14 22:52:00,bob
WIN-LAB-03,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649605,7034a79ac79e798e718c83c9cc71bc69ed43201b345bb5100cfc6e17a3ef47c4,2026-03-15 00:42:00,edward
WIN-LAB-03,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2048019,5b678fc384e4db28ff1ea991a6a95129fafa5286a412cb50e99dba80780b9955,2026-03-15 02:56:00,admin
WIN-LAB-03,C:\Users\alice\Documents\report.docx,report.docx,docx,23854,f99e8ff108e97272ffb742a7273a54ccb9c8fcbf92cecc2f68d9baa94126f181,2026-03-15 03:41:00,fatima
WIN-ACCT-01,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1876,40cec0b44674575dbe93be114d0df513c2254d00f67a605581ea2e7231140631,2026-03-15 04:11:00,charlie
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047992,72be77ebd112481c170b4837d5258b4597a52cc88fe2e7d0f0cab7ba980b5ad4,2026-03-15 05:49:00,edward
WIN-LAB-03,C:\Users\alice\Documents\report.docx,report.docx,docx,25115,7c33e6661735996bbbf25aef2dde9874d59522c84d823336d2d8f5ce814851b3,2026-03-15 06:59:00,helen
WIN-LAB-03,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,650732,2d477037563cf07abdef3d1f4fb3e4524fbfc67c5b5a7ad7bd6f81b6e16ca6f7,2026-03-15 08:38:00,admin
WIN-FIN-02,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70836,4bbb32b33b9bf0794abecec1dc0a390171187788a20f8022f879de009ed48d0b,2026-03-15 11:37:00,helen
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3962,bb81008bae082fe57cbc27c31fbf015ead8b0c1b648bc0426664b8f818003ea6,2026-03-15 11:37:00,george
WIN-LAB-03,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,5068,ebd4f7a5f99daa5e177aab1bee4738a7853b623d627ecc51ed8f4250f1ae9708,2026-03-15 15:27:00,svc_backup
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,25285,de018039d7d1ea0aecc767a6264c577170d7e4a0c3c864abb1a9263f1bedd762,2026-03-15 15:54:00,edward
WIN-FIN-02,C:\Users\alice\Documents\report.docx,report.docx,docx,24999,f9b5e536513cb5560deb398c7beba6c41a8ae9a1439044d6f8421e27ad80f4e2,2026-03-15 16:37:00,bob
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71295,c4404f86a6372e86bd7dbbd737cd07ca223bfec0b634ac5aec44b33f78a5c0e0,2026-03-15 16:59:00,alice
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,5322,0c7e5866d90fd670785c8446ec4d4b410f2f370d3e49dd81990e80613b4e3447,2026-03-15 17:35:00,admin
WIN-FIN-02,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047935,b7660e4d7ac9e544253fe272dbad1c4d0539cd1bd812e23cbbead77348675603,2026-03-15 17:58:00,edward
WIN-FIN-02,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649650,12287d8df68847c153a92a1225af4f093573f20eb28e9771d39a4d66f9639eaa,2026-03-15 18:21:00,svc_backup
WIN-ACCT-01,C:\Users\edward\Downloads\archive.zip,archive.zip,zip,649620,b7386618a7d5999f561a97aa558bfb99c6a31376b380462932d7d9ff6f7f6273,2026-03-15 20:55:00,svc_backup
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71952,2d40faac097f03d07863939415b9ddf91c807c5387cdf23fb8282a9fdf6b9c68,2026-03-15 22:54:00,helen
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,4570,c560aae2618532a5d2d9eff78178d577e3a283a7930b6a29f3c79a0b893697c1,2026-03-16 01:54:00,bob
WIN-ACCT-01,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70622,12d6626a42df60f5834348e52dee1568f8f5b7ef88499548f7afb3471c2a70d5,2026-03-16 03:33:00,fatima
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70535,24f20fa7a18f42a1682ac774961558cff5246ecf43c46e651042061c60baab6c,2026-03-16 05:56:00,diana
WIN-LAB-03,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,2647,0ac10ff95db618688fe39227703391854b322b8bf12f2eef7256c135e4a829a2,2026-03-16 11:28:00,svc_backup
WIN-FIN-02,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,4549,62c6a075d55480775c0f144eb2763bc765783bd3b5d2db752a700f2cffea4f36,2026-03-16 12:04:00,svc_backup
WIN-ACCT-01,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2047008,df3e1aa2937c90159286f4741e6c5905c81055683fe929b7a4741b8c8ae7666f,2026-03-16 12:49:00,admin
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1106,3301db01e44ff031193542970e0c4dc6b36213344463fb8c3267edaa18b94fc0,2026-03-16 13:38:00,bob
WIN-ACCT-01,C:\Users\diana\Downloads\setup.exe,setup.exe,exe,2048226,9d658c5c6676a42dcb922c58197c45f33dca75b5553d629ed4d4d9197e9dd35b,2026-03-16 13:47:00,fatima
WIN-LAB-03,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71407,e95eb10bd6b370c6c361f95206348da65def1edb38d93ca5cc91ecf35a376d7d,2026-03-16 15:06:00,charlie
WIN-ACCT-01,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3744,486109d121153d049edeba2462753dd764d20978eaebeea84c8b496834aadc85,2026-03-16 16:24:00,edward
WIN-LAB-03,C:\Users\admin\Scripts\script.ps1,script.ps1,ps1,3954,9e717e7339897741a947d5c13a0190e2c58bf9ec2834e6720c9877b6fe494ea4,2026-03-16 18:40:00,edward
WIN-ACCT-01,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,70446,b048958a6d46ef31c35f8c4b3dfb5a75f1d7f717191d3cebe43f0d5a27ac1106,2026-03-16 23:54:00,svc_backup
WIN-LAB-03,C:\Users\alice\Documents\report.docx,report.docx,docx,24028,e437cf7b8fc7c558e519e50460fb3ae1dea2f99114e9736dba11e3e053b71276,2026-03-17 01:32:00,diana
WIN-FIN-02,C:\Users\bob\Downloads\invoice.pdf,invoice.pdf,pdf,71937,fe17415df24cde1bbe809f1367a46878263683381ceb9a1c09690a4ea2b888f4,2026-03-17 03:22:00,edward
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1434,8bb77643109b09ce51d70d5d7b79923b6459419ed2c92d484ec6f6f1b19b0ab6,2026-03-17 04:58:00,bob
WIN-FIN-02,C:\Users\charlie\Desktop\notes.txt,notes.txt,txt,1960,e3f18cc230c429218eb929ec9f7da4f99acb51a510639dae0375688f6e87744b,2026-03-17 07:22:00,admin
